Authoritariansm,SDO,CRT,Conspiracy,Paranoia,LOC_1,LOC2,LOC3,TIS,Alt,Uk$Agreeableness,Uk$Conscientiousness,Uk$Neuroticism,Uk$Openness,Uk$Extraversion,Uk$MIGRANT1,Uk$MIGRANT2,Uk$COVID_Infected_Self_Binary,Uk$COVID_Infected_Rel_Binary,Uk$VAX,Uk$Sex,Uk$Employ_Binary,Uk$Education_Binary,Uk$TRUST6,Uk$TRUST7
0.080599495,0.462696507,0.767748336,-0.372370068,-0.025519617,0.087571097,0.017350934,-0.757031479,-0.98651471,-0.000166963,7,7,6,7,5,10,10,0,0,1,1,1,1,4,4
0.881139719,-0.406520052,-0.699377973,-0.418615904,-1.365542399,2.278467848,-1.946374814,1.156445202,0.366688359,0.813414571,6,9,3,8,6,7,7,0,0,1,1,1,1,3,3
0.60778101,0.6314345,-0.699377973,-0.401744222,0.962248757,-0.106737958,0.527785615,-0.467404111,-0.252943946,0.157874371,4,8,7,5,6,7,8,0,0,0,1,1,1,2,2
-0.361145891,0.66033067,-0.699377973,-0.418615904,0.448910418,0.726638372,0.108723544,-0.415817041,0.366688359,-1.003693321,5,8,6,6,6,6,6,0,0,1,1,1,1,3,3
1.143709884,0.184924358,-0.699377973,-0.622879022,-0.09410047,-0.009277709,0.268090194,0.406839398,0.298307219,-0.429807673,7,8,6,4,6,7,8,0,1,1,1,1,1,4,4
1.892941999,-0.108501423,0.787061987,0.088106536,0.548044604,-1.842550452,-1.946374814,1.697356582,-2.099417322,-0.898662654,7,10,2,9,10,10,6,0,0,1,1,1,1,4,4
0.085727141,0.736486685,-0.699377973,-0.462391242,0.061047365,0.812799081,0.27065632,-0.360517575,0.366688359,-0.460118733,6,7,6,6,5,6,5,0,0,1,1,1,1,3,2
-0.313480651,1.240712592,-0.699377973,0.2479548,0.254897974,0.1141271,-0.520888158,-0.078661954,0.403957045,-0.180943589,4,8,7,5,5,8,7,0,0,0,1,1,1,3,4
-1.934649269,-0.063289791,-0.699377973,1.316787782,0.246827251,-0.187702069,-1.72857015,0.954659927,-0.76679939,-0.641157821,10,9,5,7,7,5,4,0,0,1,1,1,1,4,4
-1.39919707,-1.363662508,-0.699377973,0.152327688,-0.738494966,0.087571097,-0.525603254,-0.360517575,0.814135915,-1.413109384,10,9,7,7,7,5,1,0,0,1,1,1,1,5,5
0.540815617,0.636058848,-0.699377973,1.913179346,-0.105456827,-0.363650512,1.144180077,-1.086633496,-1.610058553,0.967967431,5,10,4,10,7,5,5,0,0,0,1,1,1,4,4
-0.909853558,0.819870823,0.185990842,0.02827929,-1.59648584,-1.562555237,-0.689313132,1.697356582,0.842928985,-0.174613841,8,9,4,7,6,6,5,0,0,1,1,1,1,4,5
-0.457428405,-0.031209541,-0.699377973,-0.213139906,0.279011367,-0.435892126,0.108723544,-1.086633496,1.251475883,0.611874621,4,6,6,5,5,7,6,0,0,1,1,1,1,5,5
-0.909700511,0.044925325,0.188717035,0.570794203,0.547565244,0.726638372,0.108723544,-0.415817041,0.366688359,-1.313189934,8,9,4,6,4,6,3,0,0,1,1,1,1,3,4
0.479777408,-1.254056556,0.787061987,-0.418615904,0.095347643,-0.009277709,-0.523245725,-0.145775297,-0.651510582,-0.045060074,7,6,4,2,2,5,7,0,0,0,1,1,1,3,3
-1.390504917,0.256508415,1.453105919,1.070177223,0.384655644,-0.009277709,-0.285265956,-0.305470448,-0.284541561,-0.814314251,7,9,2,7,6,6,4,0,0,0,1,1,1,4,4
-0.045368947,0.827359407,-0.699377973,-0.130542761,-0.071448998,-0.66584877,-0.049566038,0.393493162,0.449163448,0.321062288,8,10,2,6,5,2,2,0,0,1,1,1,1,4,4
-0.722747626,0.871261718,-0.699377973,-0.418615904,-0.086339667,-0.740329404,0.701480712,-1.030325659,-0.840457534,-0.460118733,6,8,7,6,3,1,1,0,0,0,1,0,1,4,4
-0.503653312,0.3760434,-0.699377973,0.221880325,0.88399768,0.741784411,0.698776266,0.62907047,-0.836569429,-0.41062378,3,6,5,6,3,7,2,0,0,0,1,1,1,3,4
-0.370073069,0.060347304,0.770175141,-0.645612345,0.030008682,0.702506285,-0.138993167,-0.078661954,0.449163448,0.41849912,6,7,5,7,6,5,4,0,0,1,1,0,1,4,4
1.595175811,1.465198164,0.188717035,1.481784099,-0.215311574,-0.286259012,0.374522582,1.697356582,-0.825962023,-1.092751843,9,9,2,5,3,8,4,0,0,1,1,1,1,3,4
-0.291244178,-2.16302068,-0.699377973,1.130613491,-1.59648584,-1.086976617,-1.068077865,0.807198657,-1.053005924,-0.460118733,9,10,3,10,10,6,6,0,0,0,1,1,1,4,5
1.521234851,-0.088031134,-0.699377973,-0.645866945,0.451905058,1.276396561,-0.609713024,0.074533533,-0.618910784,0.143985803,9,10,4,4,4,7,8,0,0,1,1,1,1,4,4
2.488726574,-2.16302068,1.453105919,-1.513424867,0.091030504,0.252942561,0.60013993,-0.855830448,-0.470249664,-0.236649447,4,9,10,9,6,10,10,0,0,1,1,1,1,5,5
-0.013761508,0.843769033,-0.699377973,-0.418615904,0.897648119,0.726638372,0.108723544,-0.360517575,-1.610058553,-0.460118733,6,7,8,5,6,3,5,0,0,1,1,1,1,2,2
-0.321292332,1.203638275,0.166942309,-0.772614696,-0.698740019,-0.750826602,-0.671516292,0.078319752,0.842928985,0.768064646,8,10,6,4,4,5,3,0,0,1,1,1,1,4,4
0.046362948,0.871261718,-0.699377973,-0.045638097,-0.196578488,-0.648083131,0.10621578,-0.145775297,0.191047632,1.01055565,7,7,7,4,5,3,5,0,0,0,1,1,1,1,3
-0.76593204,0.597941515,-0.699377973,-0.178479102,1.963683827,-0.177727977,1.831776202,-1.607161355,-0.766118988,0.793021554,6,6,6,7,3,8,7,0,1,1,1,1,1,2,1
0.391884505,-1.314757204,-0.699377973,0.238937239,-1.59648584,-1.562555237,-0.84408243,1.697356582,-1.17545948,-1.420246411,8,7,3,10,8,5,10,0,1,1,1,1,1,4,4
-0.896264599,0.342757036,0.185990842,0.374205559,0.920257914,-1.187382382,1.352865011,-0.770708212,-0.665487914,-1.256581315,2,8,9,8,4,2,1,0,0,1,1,1,1,4,4
0.872096361,-0.366629486,0.770175141,0.76693576,-1.59648584,-1.549320528,0.187302424,-0.15895062,0.328947783,1.513970949,8,9,5,6,7,8,10,0,0,1,1,1,1,5,5
0.359877468,0.604986125,-0.699377973,-0.046637673,-0.161373208,0.726638372,0.108723544,-0.415817041,-0.944250311,-0.460118733,6,6,7,6,6,6,7,0,0,0,1,1,1,3,3
-0.224255093,0.165562185,-0.699377973,-0.009025866,-0.173025812,-0.062883163,-0.22024837,0.462112157,0.449163448,0.642533961,8,8,4,5,6,4,5,0,0,0,1,1,1,4,4
-0.051796509,-0.583451242,1.453105919,-1.790210052,-0.738494966,0.613542069,0.795692924,0.406839398,-0.333521969,0.039229449,8,6,9,7,4,9,8,0,0,1,1,1,1,2,1
0.475006348,0.450536628,-0.699377973,-0.418615904,0.263867336,0.702506285,0.453415072,0.181387422,0.389847105,-0.861520172,8,9,8,6,6,5,5,0,0,0,1,1,1,4,4
0.65423286,0.753481249,-0.699377973,0.411068585,0.67336985,1.655996748,-0.372475469,0.406839398,-0.651510582,-0.917883139,7,6,5,6,8,2,2,0,0,1,1,1,1,3,3
-1.081390511,0.652935135,-0.699377973,2.403152971,1.395246783,-0.797451367,-1.176252207,0.198192938,-0.414755203,0.611874621,7,10,4,7,4,7,4,0,1,1,1,1,1,4,5
-0.283992404,0.523372927,0.188717035,0.025089822,0.028629043,-0.620013866,0.360181608,0.127948373,0.366688359,-1.347079686,6,9,3,9,7,7,7,0,0,0,1,1,1,4,4
1.3471314,-0.955394569,1.453105919,0.069518035,-1.27080286,0.017456242,0.268090194,-0.921782004,-1.17545948,0.986273753,6,4,6,9,6,10,10,0,0,1,1,1,1,4,4
-0.892169512,-0.82458049,0.188717035,-0.575969597,-0.205431894,-0.750826602,-0.370104551,0.406839398,-0.307251811,0.547976759,9,8,6,6,5,4,3,0,0,1,1,1,1,4,4
-1.012742639,0.097852536,-0.699377973,0.0531879,-0.725612841,0.130863049,0.268090194,0.131733567,0.527404286,-0.45720621,4,9,4,8,8,8,5,0,0,1,1,1,1,3,4
0.359877468,0.871261718,0.188717035,-0.418615904,0.448910418,0.812799081,0.10621578,-0.415817041,-0.216658976,-1.039808231,7,5,7,7,5,6,6,0,0,0,1,1,1,3,4
-0.931297463,0.319348845,-0.699377973,-0.386320134,-1.59648584,-0.160668942,-1.159319359,0.462112157,0.047600848,-1.826471229,6,9,5,6,4,6,3,1,0,0,1,1,1,4,4
-0.548072682,0.871261718,-0.699377973,-0.418615904,0.448910418,0.726638372,0.108723544,-0.631055683,-0.497140714,0.806554546,7,6,6,6,6,1,1,0,0,0,1,1,1,3,5
-0.48713835,-0.807499487,0.188717035,-0.328040198,-1.027235513,-0.518790382,-0.753829459,-0.305470448,1.446642009,1.617376977,8,10,4,6,5,8,8,0,0,1,1,1,1,4,4
-0.033551194,-0.611794332,-0.699377973,0.472226824,0.922614483,-0.694071487,0.362780162,-0.644698065,0.545999319,1.114218502,9,8,6,8,6,6,4,0,0,1,1,1,1,4,4
-0.397506701,0.092298634,-0.699377973,-0.27873415,1.45307004,-0.740329404,1.834864733,-1.376251229,0.05701244,1.01605236,7,5,6,7,4,8,8,0,0,1,1,1,1,3,2
-0.457428405,-0.948920592,-0.699377973,1.884674415,0.051967872,-0.855073829,1.250832221,0.807198657,0.217242365,0.611874621,6,3,6,4,2,8,8,0,0,1,1,1,1,3,4
0.359877468,0.7123673,1.453105919,-0.976157618,-0.380946603,0.726638372,0.890763069,0.024856354,-0.401550701,-1.049766194,7,5,7,5,4,4,5,0,0,1,1,1,1,3,4
0.410459249,-1.322481248,-0.699377973,-0.790253319,-1.59648584,2.052326169,-1.946374814,1.496777502,1.685737526,0.865384423,7,9,7,10,10,10,10,0,0,1,1,1,1,5,5
0.813353558,-2.16302068,-0.699377973,-1.650144232,1.575728644,0.750600678,0.273223362,-0.865527775,0.311463295,-0.920047152,8,6,5,7,5,7,6,0,0,1,1,1,1,5,5
-0.056833811,1.060856409,-0.699377973,-1.180064549,0.287093379,0.765636626,-0.13656775,-0.471346198,1.251475883,-1.551370262,6,6,6,6,6,8,9,0,1,0,1,1,1,3,3
-1.175888067,1.135550471,-0.699377973,0.08821759,0.680367224,-0.160668942,-0.828395974,-0.23740576,-1.842570935,-1.947058598,4,10,4,7,3,5,1,0,0,0,1,1,1,2,2
-1.601341218,-0.199429585,-0.699377973,-0.009400033,0.40518883,0.678210216,-0.925794074,-0.360517575,0.366688359,-0.547626256,7,8,5,6,6,1,1,0,0,1,1,1,1,3,3
-0.060325311,0.401677063,0.185990842,-0.392468872,-1.59648584,-0.03605776,-0.452116074,0.462112157,0.393404633,-0.731705397,8,8,3,7,6,7,8,0,0,1,1,1,1,4,5
0.736221124,-1.67996928,0.185990842,0.505676071,-1.59648584,-0.722395451,-0.523245725,0.024856354,-0.401550701,0.009321126,7,9,4,5,6,2,2,0,0,1,1,0,1,3,4
0.461429907,0.099361919,0.185990842,0.755322142,0.547565244,0.726638372,0.108723544,-0.415817041,-0.402183742,-0.731705397,7,5,6,7,6,9,8,0,0,1,1,1,1,4,4
-0.370073069,0.071507358,-0.699377973,-0.67648016,0.536339012,0.060963999,-0.13171474,0.181387422,-0.497140714,-0.682030366,5,8,6,7,6,8,8,0,0,1,1,1,1,4,5
0.554989012,-0.856350904,-0.699377973,1.201205671,-0.511048434,-0.03605776,0.017350934,-0.398420317,-1.053005924,-1.823918695,8,6,7,6,3,10,5,0,0,1,1,0,1,5,5
