Authoritariansm,SDO,CRT,Conspiracy,Paranoia,LOC_1,LOC2,LOC3,TIS,Alt,Agreeableness,Conscientiousness,Neuroticism,Openness,Extraversion,Ireland$MigrantAttitudes1,Ireland$MigrantAttitudes2,Ireland$C19_Infected_Binary,Ireland$C19_SomeoneClose_Infected_Binary,Ireland$Vax_Self_Binary,Ireland$�..Sex,Ireland$Occupation_Binary,Ireland$Education_Binary,Trust_Scientist,Trust_Doctor
0.136808524,1.061840519,-0.643021258,-0.551523611,0.428002212,0.31931229,1.079117271,0.113032277,-2.021279556,-0.907850219,6,6,5,6,6,8,7,0,1,0,1,0,0,1,1
-0.611649974,0.503493631,-0.643021258,-0.040390878,-0.948840715,-0.984478765,2.204702449,-0.255532483,0.82441434,-0.838575888,6,7,5,6,2,5,7,0,0,0,1,1,1,4,4
0.547903662,0.083594431,-0.643021258,0.180351714,-0.720696815,-0.12383119,0.303924243,0.113032277,1.5391047,0.00795398,9,10,2,7,6,6,9,0,0,1,1,1,0,3,4
-0.711408846,0.914120089,0.868779879,-0.364960627,-0.05880281,0.462217492,-0.185979592,-0.171338574,-0.676563499,-0.231292913,6,7,10,9,6,4,2,0,0,1,0,0,0,4,4
1.457449036,0.31517923,-0.643021258,0.597246285,-0.84914063,-0.984478765,0.63986012,-1.154772153,-1.762481228,0.685411452,9,10,6,5,8,1,1,0,0,1,0,1,1,3,4
1.420544293,-0.557188435,-0.643021258,0.811582783,-1.087987664,-1.096275418,-0.336644221,-0.767553182,-0.606922778,0.876963115,8,10,3,5,4,5,4,0,0,0,0,1,1,2,3
-1.181813746,-0.596476238,0.121682753,0.197718654,0.256916695,0.420430535,0.522240368,-0.255532483,0.137346891,-0.324281537,7,5,6,7,6,9,9,0,0,0,0,0,1,4,4
1.655469623,-0.420529871,0.121682753,0.208879851,-1.087987664,-0.540229971,-1.237571375,-1.185174662,0.82441434,2.05022748,6,8,4,9,8,7,6,0,0,1,0,1,1,4,5
1.7601867,-0.929249716,-0.643021258,2.301845529,-1.087987664,-0.010392807,0.839732382,1.775829001,0.22058023,0.163245866,9,9,4,6,6,8,8,0,1,1,1,1,1,3,3
1.944699276,-0.364120168,0.121682753,0.101077059,-0.846948929,-1.437658886,0.355583302,-0.481855842,0.22058023,0.862810928,8,9,2,5,6,7,9,0,0,0,1,1,1,5,4
-0.085101676,0.087214649,-0.643021258,0.178105275,-0.231363926,-0.920636387,-0.260673992,-0.999703618,0.11269009,-0.193518932,6,8,8,4,4,8,8,0,0,0,0,1,1,4,4
-0.085101676,-1.365758967,-0.643021258,-0.490148403,-1.526192182,0.340319294,-1.567582422,-1.691905973,0.304434886,0.087954614,8,6,6,7,6,8,8,0,0,1,0,0,1,4,4
0.41041075,0.637117436,-0.643021258,0.58516144,-1.087987664,0.046752364,-0.278215982,0.286448096,-0.877477549,-1.09911342,8,8,5,6,7,6,4,0,0,0,1,1,1,2,2
0.164550659,0.75200675,-0.643021258,0.376535186,1.658233332,1.379951058,0.927973115,-0.059749043,-0.012673258,-0.300861629,6,10,6,6,9,7,6,0,0,0,1,1,1,2,1
0.41041075,0.135971864,-0.643021258,-0.912963799,0.49176188,0.31931229,1.079117271,0.113032277,-0.427259336,0.163245866,6,8,6,7,6,7,8,0,0,1,1,1,0,3,4
1.226925758,0.169517332,-0.643021258,0.951776909,-0.094492973,-0.103845274,-0.395947164,0.229627766,-1.065185762,-0.791848189,10,10,2,5,6,3,1,1,1,1,1,1,1,2,4
-0.138917375,0.130843599,-0.643021258,0.774904177,-0.152367336,-0.126432515,0.457249602,0.678617788,0.031664085,-0.128725761,8,9,5,5,6,4,4,0,0,1,1,1,1,3,4
-0.84389735,0.584833725,0.121682753,-0.508919817,0.192703798,0.163957038,-1.307037133,-0.33951142,-1.181089307,-0.654676295,7,9,3,10,5,5,5,0,0,1,0,1,1,4,4
0.79384045,0.858029619,-0.643021258,0.128470958,1.089503116,-0.199326502,0.970926809,1.491892592,-0.783929389,-0.765614337,6,7,6,7,4,8,8,0,0,0,1,1,0,4,1
0.147201516,0.394491473,-0.643021258,-1.039026275,0.387920549,-0.067235866,-0.278215982,0.436573876,0.55894633,-0.591544126,8,9,6,8,3,5,7,0,0,0,0,1,1,4,4
0.419680246,0.808515055,0.121682753,-0.567161168,0.778874104,0.48085241,1.038242683,0.648784465,0.380697114,0.163245866,8,7,7,7,6,6,7,0,0,1,1,1,1,5,5
0.52347275,-0.055870869,-0.643021258,-0.125084988,-1.284239529,0.624150242,-0.395947164,0.085085482,1.024698737,0.782926248,10,8,4,8,6,7,7,0,0,1,1,1,0,4,5
