"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"1",0,-0.180268186553009,0.112122637357585,-0.163577673726165,-0.0329009154816783,0.0786627234538405,0,0,-0.18923408752966,-0.0585385799339082,0,-0.155724953060099,0,0,0.0551189583564042,0.055042683620675,0.181659051491128,0,0,0,0.0408912376619067,0,0.101636814871917,0.0457995768005233,-0.0419181777667024
"2",-0.180268186553009,0,0,-0.0616784252296279,0.0637839266320101,0,0,0,0.239334833377824,-0.171721418518131,-0.0943211363814227,-0.0408134407649056,-0.0577280794869774,-0.0866212610079854,0.0735117771267944,0,-0.129522830889898,0,0,-0.066511530746085,0.154578115277097,0.206144798677173,0,-0.0473242183033577,-0.11731660667613
"3",0.112122637357585,0,0,-0.0949502927231475,-0.0658439663889821,-0.0516047050748389,0,0,-0.0503022701280425,0,-0.0973957401929697,0,-0.0665551631752732,0,-0.0282284811025529,0,0,0.122343565981753,0,0,0.199173659487875,0,0.190914557117287,0,0
"4",-0.163577673726165,-0.0616784252296279,-0.0949502927231475,0,0.0794483066249847,-0.0430568721773482,0,-0.144817827212844,-0.180822369826375,0.0754546535377976,0,0.0247237555141284,0,0,0,0,0,0,0,0,-0.0420019889119591,0,-0.0659333361581513,0,0
"5",-0.0329009154816783,0.0637839266320101,-0.0658439663889821,0.0794483066249847,0,0,0.132251181080018,-0.261563166798952,0,0,-0.238753426296125,-0.0607158043124711,0.143163312823691,0.0284987221960499,-0.0755093406876116,0,0,0,0,-0.0430802068438722,0,0,0,0,-0.0922032935551693
"6",0.0786627234538405,0,-0.0516047050748389,-0.0430568721773482,0,0,-0.103632962925331,-0.167146306383624,0,-0.0480275163417668,0,-0.109210628252927,0.215090583841924,-0.0656478102298693,0.0845923078894544,0,0,0,0,0,0,-0.117140860407883,0,-0.0689995197402872,0
"7",0,0,0,0,0.132251181080018,-0.103632962925331,0,-0.528507397636224,0,0,0,-0.103459041613541,0.0831819517522319,0.0665200152042074,-0.0926125693102228,0,0,0.180504092876413,0,0,-0.0692896701581879,-0.0744947444734268,0,0,0
"8",0,0,0,-0.144817827212844,-0.261563166798952,-0.167146306383624,-0.528507397636224,0,0,0,0,0,-0.0392227524559666,0,0,0,0,0,-0.0600815963676996,0,-0.0633277625960232,0,0,0,0
"9",-0.18923408752966,0.239334833377824,-0.0503022701280425,-0.180822369826375,0,0,0,0,0,0.157287187587452,0.0397900482842088,-0.0431446080952292,-0.0573069806210431,0,0,0,0.067003846116071,0,0,0,0,0,0,0.217428791903652,0.0851057472463045
"10",-0.0585385799339082,-0.171721418518131,0,0.0754546535377976,0,-0.0480275163417668,0,0,0.157287187587452,0,0.145102320434936,0.0801162584283581,0,0.0529775970948187,0,0,0.103875757452213,0,0.101821880789627,0.0651675529181074,-0.0769555942108232,0.09463739801866,0,0,0
