"","Authoritariansm","SDO","CRT","Conspiracy","Paranoia","LOC_1","LOC2","LOC3","TIS","Alt","Agreeableness","Conscientiousness","Neuroticism","Openness","Extraversion","Ireland$Trust_in_Irish_State","Ireland$MigrantAttitudes1","Ireland$MigrantAttitudes2","Ireland$C19_Infected_Binary","Ireland$C19_SomeoneClose_Infected_Binary","Ireland$Vax_Self_Binary","Ireland$ï..Sex","Ireland$Occupation_Binary","Ireland$Education_Binary"
"55",0.777344265270044,0.423915373505006,-0.643021257745389,-1.01888087361985,-0.204183893321333,-0.602811207403792,-0.275320879132148,-0.562004159836213,0.686204135225124,-1.63275554157818,9,10,3,6,5,25,4,4,0,0,1,1,1,0
"56",-0.0314297452849663,-0.474758025925465,-0.643021257745389,-1.12127734475137,-0.725649346391764,0.101080083329432,0.398932647674894,-0.606989037730766,1.25128673467033,1.79303364880434,8,7,2,9,10,28,3,4,0,0,0,0,0,1
"57",0.920780971135395,0.567827826583027,-0.643021257745389,2.3018455294543,2.584444536636,-1.2661068535862,2.33283562903291,2.17287190474804,2.19691194793729,2.0502274797671,7,6,6,6,5,32,10,10,0,0,0,0,0,1
"58",0.655814593186817,-0.228496828567899,-0.643021257745389,0.0279388395787491,0.7557843233943,-0.494573302107738,1.25319611757331,0.63457840851462,-0.649543524219568,0.163245866185761,7,9,10,8,4,17,5,6,0,0,0,1,0,1
"59",1.04973131879325,-0.0827914671478616,-0.643021257745389,0.213456111962322,1.71481418336568,0.283265654921697,0.844299213081996,1.47731761315107,-0.991628937683797,0.139660621161533,7,10,2,6,9,18,6,6,0,0,1,0,0,0
"60",1.05621456455842,-0.0485613326363039,0.12168275327275,0.572422829024232,-0.0178834405651397,0.199291340990676,0.600364983559464,0.353207292822597,-0.227145864669011,0.504878893065352,7,6,6,5,5,17,5,6,0,0,0,0,0,0
"61",0.136808523700728,1.06184051881282,-0.643021257745389,-0.551523611410411,0.491761879741028,0.247731929169722,0.186846217762876,0.491276744347603,0.220580229794594,-0.907850219302547,6,6,6,6,5,21,6,6,0,0,1,0,0,0
"62",0.875385108458509,0.486641161490896,0.25247080202904,-0.262860189129037,0.556379145328473,0.247731929169722,0.419172342135762,0.443359507781474,0.858917205446581,-0.276707195686551,8,8,4,8,5,30,7,7,0,0,0,0,0,0
"63",-0.821876699755264,-0.282273938725795,-0.643021257745389,0.543043475955083,1.28856970956935,0.01431716137932,0.132293733238391,-1.55174786430234,-1.21540373832289,0.067564920530678,5,8,6,7,10,18,8,8,0,0,1,1,1,0
"64",-0.312297661345072,0.570094567254535,-0.643021257745389,-0.302329046548795,-0.317819443204162,-0.796057987919496,-0.939675636859094,-0.759855338184817,-0.248522807467885,0.156573651788411,9,7,3,5,4,21,8,7,0,0,0,1,0,1
"65",-1.47706262251816,-1.84322845076362,-0.643021257745389,1.9364179255458,-0.639768531319363,0.618750697424542,-1.00869348380307,-1.36446732615607,-1.5411291682267,0.878726921555907,6,8,6,7,3,12,7,10,0,0,0,1,0,1
"66",-0.88182285825406,0.397859648368558,1.50308966740445,-0.889900553378716,1.23239948366463,0.163160649823914,0.45353535335797,0.16954131314117,-0.042844055437936,0.293755343148514,5,10,8,10,3,23,8,7,0,0,0,0,0,1
"67",0.294638884576144,0.242843153560589,0.868779879465011,-1.27421232542054,0.376234302721158,0.163160649823914,0.565403311602397,0.491276744347603,0.769257238314406,-0.899422112684338,6,10,6,10,4,28,3,3,0,0,0,0,1,1
"68",1.37467541725657,0.994922077170242,-0.643021257745389,0.968535807016881,0.419323257063985,-0.588628445371152,0.186846217762876,1.07278674274666,-0.108974567331568,0.688115336380903,7,7,4,6,7,25,1,1,0,1,0,1,0,0
"69",0.220695613911121,0.353152522516501,-0.643021257745389,1.22589320755735,0.716369318158096,-0.480622128799392,1.25319611757331,0.780186032785702,1.16001959968447,2.0502274797671,8,8,9,6,7,27,9,10,0,0,0,0,0,1
"70",0.769921356457699,0.803096379345716,-0.643021257745389,-0.984765924590685,-0.442522888186849,0.113950284081864,0.15348114099541,0.443359507781474,-0.740567332407796,-1.31946828555983,7,10,10,7,4,15,7,6,0,0,0,0,1,0
"71",-0.250613987812364,-0.623190288217592,-0.643021257745389,0.539623387907745,0.00239328452044753,-1.4354952932779,-0.229650112265116,-1.55174786430234,-0.364121742569031,-0.672736888132565,7,10,2,9,7,23,10,10,0,0,1,0,0,0
"72",-0.298455138504536,-0.623190288217592,-0.643021257745389,-1.82084526297301,0.556379145328473,0.377935002200854,1.0951868849195,0.928124920434508,1.12167042309646,0.163245866185761,7,9,6,7,8,27,7,7,0,0,0,0,0,0
"73",-0.399273885832003,0.108916759358276,-0.643021257745389,2.3018455294543,2.1561535047205,-0.401778982689374,-0.583592109323751,0.395951727695653,-2.02127955617421,0.298852552482874,8,10,6,6,10,7,1,5,0,0,0,1,0,0
"74",2.09307454577146,-0.124632846298239,-0.643021257745389,0.345847606976764,0.556379145328473,0.211937482027923,0.844299213081996,0.830796973598152,0.0214681516627802,0.854145216056792,6,9,6,7,7,26,7,8,0,0,0,1,0,1
"75",1.32359849042344,-0.153159937303673,-0.643021257745389,-0.0514052729009751,-0.87096847641239,-0.643330291688815,-1.13859620185991,0.877112703488023,-0.13861206498249,0.351879630556078,7,6,7,7,5,19,5,5,0,0,0,1,0,1
"76",0.772926530512512,-0.811523889426731,0.12168275327275,2.3018455294543,-0.71878428836856,-0.562560210123464,0.255468881166577,-1.55174786430234,-1.76248122808747,1.02803193874907,9,10,6,10,6,10,5,4,0,0,1,1,0,1
